LINK,DESCRIPTION
https://helpfulinformation.redcross.nl/den-haag/asylum/after-rejection,Here you can find information on receiving legal advice after your asylum application rejection
https://helpfulinformation.redcross.nl/den-haag/asylum/voluntary-return,Find information about organisations that can help you when you want to return to your home country.
https://helpfulinformation.redcross.nl/den-haag/helpdesk/helpdesk,"There are multiple organizations throughout The Hague where you can go for (social) support. At their helpdesks you can ask all your questions about shelter, your rights, medical aid etc."
https://helpfulinformation.redcross.nl/den-haag/women/pregnancy-care,Also without legal status you have the right to get medical care and support when you are pregnant. You can have access to a midwife and see a doctor for medical care. 
https://helpfulinformation.redcross.nl/den-haag/women/birth-control-period-products,Here you can find an overview of information on where to get birth control pills and menstruation products
https://helpfulinformation.redcross.nl/den-haag/women/organizations,"There are organizations that can help you, specifically for undocumented women. For example, special shelters "
https://helpfulinformation.redcross.nl/den-haag/women/abortion,Some girls and women are faced with an unexpected or unwanted pregnancy and the choice of what you want to do with this pregnancy. This can be difficult. Here you can find information on abortion and how to get help. 
https://helpfulinformation.redcross.nl/den-haag/safety-protection/domestic-violence,Also without legal status you have the right to get protection. We want to help you get protection. Find more information about your rights and how to get help here.
https://helpfulinformation.redcross.nl/den-haag/safety-protection/criminal-exploitation,"Criminal exploitation happens when someone is forced to commit crimes like stealing or selling drugs. The exploiter receives the earned money. If you are forced to commit criminal activities you are possibly a victim of criminal exploitation. The force doesn’t have to be necessarily physical, it can also be through psychological pressure, manipulation, blackmailing or deception.   Also without legal status you have the right to get protection. We want to help you get protection. Find more information about your rights and how to get help here.           "
https://helpfulinformation.redcross.nl/den-haag/safety-protection/labour-exploitation,"Labour exploitation is when a person is forced to work long hours in poor or dangerous conditions and does not get paid (enough). The force doesn’t have to be necessarily physical, it can also be through psychological pressure, manipulation, blackmailing, deception or by misusing a situation of dependence on the employer (for example because the employer provides your housing). This can happen in any sector, including domestic work.  Also without legal status you have the right to get protection. We want to help you get protection. You can find more information about your labour rights on the [Work page](https://helpfulinformation.redcross.nl/utrecht/work).  "
https://helpfulinformation.redcross.nl/den-haag/safety-protection/sexual-exploitation,"Sexual exploitation is when someone earns money by forcing another person to perform sexual acts. Most of what you earn goes to someone else. The force doesn’t have to be necessarily physical, it can also be through psychological pressure, manipulation, blackmailing or deception. Everyone can become a victim of sexual exploitation.  Also without legal status you have the right to get protection. We want to help you get protection. Find more information about your rights and how to get help here."
https://helpfulinformation.redcross.nl/den-haag/health-wellbeing/hygiene,
https://helpfulinformation.redcross.nl/den-haag/health-wellbeing/emergency-lines/emergency-112,"In case of emergency: For life-threatening issues, call 112. Everyone can call 112 for free, also if you are undocumented!. Phone: 112. Email: unknown."
https://helpfulinformation.redcross.nl/den-haag/health-wellbeing/doctor/doctors,"How to find a doctor by yourself: In the Netherlands you have the right to health care, even if you are undocumented. Every doctor has a legal duty to treat you. You must see a General Practitioner first. . Phone: unknown. Email: unknown."
https://helpfulinformation.redcross.nl/den-haag/health-wellbeing/doctor/dokters-van-de-wereld,"Doctors of the World : If you feel sick, Doctors of the World offers health care for problems with your body or mind. They offer this in a mobile unit.. Phone: (+)31 2 07 65 38 01. Email: zorgrecht@doktersvandewereld.org."
https://helpfulinformation.redcross.nl/den-haag/health-wellbeing/doctor/hadoks,How to find a doctor in the evenings or weekends: Call this place if you feel very sick outside of times that regular health services are open.  If it's life-threathening: Call 112 instead!  . Phone: (+)31 7 03 46 96 69. Email: unknown.
https://helpfulinformation.redcross.nl/den-haag/women/birth-control-period-products/anticonception,"Questions about anticonception or sexual health? : If you need anticonception, or if you have questions about your sexual health, you can go to the SRG consultation hour of Doctors of the World. . Phone: (+)31 6 27 65 23 49. Email: zorgrecht@doktersvandewereld.org. ."
https://helpfulinformation.redcross.nl/den-haag/health-wellbeing/sexual-health/hiv,How to get HIV treatment/medication: If you are HIV positive and you need medication you can go to a general practitioner. They will refer you to a specialist who can prescribe you the medicine.. Phone: unknown. Email: unknown.
https://helpfulinformation.redcross.nl/den-haag/shelter/day-shelter/the-hague-world-house,"Information about The Hague World House: The Worldhouse is a safe center for undocumented migrants. They want to help you with questions about shelter, your legal situation and health. . Phone: Call: (+)31 7 03 18 16 74 or (+)31 7 03 18 16 58 during opening hours, , Whatsapp: (+)31 6 57 54 72 69. Email: dhwereldhuis@stekdenhaag.nl."
https://helpfulinformation.redcross.nl/den-haag/legal-advice/legal-advice/vluchtelingenwerk,VluchtelingenWerk : VluchtelingenWerk The Hague is there to help you with questions about your legal situation.. Phone: (+)31 7 03 26 53 67. Email: infodenhaag@vluchtelingenwerk.nl.
https://helpfulinformation.redcross.nl/den-haag/legal-advice/legal-advice/stichting-los,Stichting LOS: Stichting LOS provides a broad range of information about the rights of undocumented migrants. . Phone: (+)31 10 7470156. Email: info@stichtinglos.nl.
https://helpfulinformation.redcross.nl/den-haag/legal-advice/legal-advice/basic-rights,"Basic Rights website: Here you can find a website that explains the rights of undocumented migrants in the Netherlands. They discuss various topics, such as shelter, healthcare, education and work. . Phone: unknown. Email: unknown."
https://helpfulinformation.redcross.nl/den-haag/shelter/night-shelter/lvv-rotterdam,"LVV Rotterdam: In case you got a negative decision for asylum, this office is the first place to get help and advice, also if you are from the Hague. They may be able to help you get into the LVV program and to help you with 24-hour shelter.   . Phone: 14 010. Email: vreemdelingenloketMO@rotterdam.nl."
https://helpfulinformation.redcross.nl/den-haag/shelter/day-shelter/winter-shelter-delft,Where to find shelter in the winter in Delft? : You can go to the winter shelter when you don't have BSN. It is only open when it is so cold at night that it is dangerous to sleep outside. **The winter cold shelter is open from 31st January**. Phone: (+)31 1 52 84 10 68. Email: info@perspektief.nl.
https://helpfulinformation.redcross.nl/den-haag/shelter/night-shelter/winter-shelter-delft,Winter Cold Regulation in Delft: The Winter Cold Regulation is open for all homeless people. **The winter cold shelter is open from 31st January**. Phone: (+)31 1 52 84 10 68. Email: info@perspektief.nl.
https://helpfulinformation.redcross.nl/den-haag/women/pregnancy-care/labourrights-flyer,"Flyer about Labour Rights : Here you can find a flyer that explains your labour rights, how to stay safe at work, and where to ask for help. . Phone: unknown. Email: unknown."
https://helpfulinformation.redcross.nl/den-haag/women/pregnancy-care/labourrights-video,Ode to Workers : Exploitation is a crime and with help you can safely report it if you wish to. This video explains how to find this help.. Phone: unknown. Email: unknown.
https://helpfulinformation.redcross.nl/den-haag/children/childrens-rights/nidos,Nidos: Nidos is the national agency responsible for family supervision and guardianship for unaccompanied minors in the Netherlands.. Phone: (+)31 8 85 01 12 00 (Nidos Ter Apel). Email: contact@nidos.nl (direct your e-mail to Nidos Ter Apel) .
https://helpfulinformation.redcross.nl/den-haag/children/childrens-rights/defence-children,Defence for Children Helpdesk : Defense for Children offers juridicial help regarding children's rights.. Phone: (+)31 7 15 16 09 80. Email: info@defenceforchildren.nl.
https://helpfulinformation.redcross.nl/den-haag/safety-protection/safety-protection/how-to-contact-police,"How to contact the police: If you are a victim of a criminal offense - such as theft or violence - you can safely file a report with the police. Even if you are undocumented, you have the right to get protection.. Phone: (0900) 8844. Email: unknown."
https://helpfulinformation.redcross.nl/den-haag/safety-protection/domestic-violence/veilig-thuis,Advice on / reporting domestic violence.: Veilig Thuis is the advice and reporting point for domestic violence and child abuse in the Netherlands. You can call for advice or you can report violence.. Phone: 0800-2000. Email: unknown.
https://helpfulinformation.redcross.nl/den-haag/shelter/night-shelter/winter-shelter,Winter Cold Regulation The Hague: The winter shelter is a night shelter for all homeless people in The Hague. It is only active when it is so cold at night that it is dangerous to sleep outside.  **The winter night shelter is open from 31st January**. Phone: unknown. Email: unknown.
https://helpfulinformation.redcross.nl/den-haag/dentist/dentist/how-to-find-dentist,"How to find a dentist: Undocumented migrants can go to any dentist for aid. However, everyone has to pay aid in full. For children who are below 18, the costs of normal dental care are partly reimbursed through the CAK.  . Phone: unknown. Email: unknown."
https://helpfulinformation.redcross.nl/den-haag/dentist/dentist/the-worldhouse,"How to find a dentist: The Worldhouse is a safe center for undocumented migrants. They can help you to get a referral to a dentis. . Phone: During opening hours: , (+)31 7 03 18 16 73 , (+)31 7 03 18 16 58 , , Whatsapp: (+)31 6 57 54 72 69. Email: dhwereldhuis@stekdenhaag.nl."
https://helpfulinformation.redcross.nl/den-haag/legal-advice/legal-advice/the-worldhouse,"Worldhouse consultation hours: The Worldhouse is a safe center for undocumented migrants. They want to help you with questions about shelter, your legal situation and health. . Phone: During opening hours: , (+)31 7 03 18 16 73 , (+)31 7 03 18 16 58 , , Whatsapp: (+)31 6 57 54 72 69. Email: dhwereldhuis@stekdenhaag.nl."
https://helpfulinformation.redcross.nl/den-haag/shelter/day-shelter/saturdays,"Where to go for shelter on Saturdays?: The World House and Red Cross offer a safe, warm and dry place on Saturdays during the winter months. Phone: unknown. Email: unknown."
https://helpfulinformation.redcross.nl/den-haag/health-wellbeing/mental-wellbeing/emergency-113,"Emergency line 113: If you or someone you know is thinking about suicide, you can call 0800-0113. You can call them 24/7. Their services are free of charge and you can call or chat with them anonymously. . Phone: 0800-0113. Email: unknown."
https://helpfulinformation.redcross.nl/den-haag/health-wellbeing/mental-wellbeing/mind-korrelatie,"If you need psychological support: You can contact one of the care workers of MIND anonimously and for free if you need psychological support. . Phone: Phone line: 0900-1450, WhatsApp: (+)31 6 13 86 38 03, . Email: unknown."
https://helpfulinformation.redcross.nl/den-haag/health-wellbeing/mental-wellbeing/alles-oke,Alles Oke?: Alles Oke? line is there for young adults between the age of 18 and 24. The service is free and you can discuss whatever you want anonymously in Dutch or English.. Phone: 0800-0450. Email: unknown.
https://helpfulinformation.redcross.nl/den-haag/health-wellbeing/mental-wellbeing/video-stress,Video about stress: The Red Cross created a video about how people can cope with stress. You can access the video here. . Phone: unknown. Email: unknown.
https://helpfulinformation.redcross.nl/den-haag/health-wellbeing/medication/pharmacy,How to find a pharmacy: At a pharmacy you can get medicines. There are some pharmacies that are specialized in helping undocumented people.. Phone: unknown. Email: unknown.
https://helpfulinformation.redcross.nl/den-haag/activities/activities/life-skill,Life Skill Workshops: The Red Cross has created a series of workshops especially for undocumented people. In the Life Skills workshops you will learn more about dealing with difficult personal situations such as stress and how you can protect your own health.The Red Cross has created a series of workshops especially for undocumented people. In the Life Skills workshops you will learn more about dealing with difficult personal situations such as stress and how you can protect your own health.. Phone: unknown. Email: unknown.
https://helpfulinformation.redcross.nl/den-haag/activities/activities/know-your-rights,Know your rights workshop: The Red Cross and FairWork created an interactive workshop where you can learn more about your (labour) rights when you don't have a BSN.. Phone: unknown. Email: unknown.
https://helpfulinformation.redcross.nl/den-haag/search-missing-relatives/find-family/find-family,How to find missing family: You can contact the Restoring Family Links department of the Netherlands Red Cross when you are looking for family members in other countries.. Phone: (+)31 7 04 45 58 22. Email: unknown.
https://helpfulinformation.redcross.nl/den-haag/food-clothing/food/soepbus,"Where to get a free meal?: At Koekamp (near central station) you can find the soupbus. Here, you can get a soup and a warm drink. . Phone: unknown. Email: unknown."
https://helpfulinformation.redcross.nl/den-haag/food-clothing/food/straatpastoraat,Where to get a free meal on Fridays?: Every Friday you can join the service from the Straatpastoraat at the Stadsklooster and/or get a free meal. The service starts at 17.00 and the dinner starts at 18.00.. Phone: unknown. Email: straatpastoraat-denhaag@hotmail.com.
https://helpfulinformation.redcross.nl/den-haag/shelter/day-shelter/aandachtscentrum,"Where to go in The Hague during the day?: You can come to the Aandachtscentrum for a cup of coffee or tea, to have a chat, to sit and relax. You can also light a candle or join the prayer.. Phone: (+)31 7 03 65 14 12. Email: info@aandachtscentrumdenhaag.nl."
https://helpfulinformation.redcross.nl/den-haag/food-clothing/food/breakfast-saturday,Free breakfast on Saturdays: You can enjoy a free breakfast on Saturdaymornings at Dunne Bierkade 16 from 09.30 until 11.00.. Phone: unknown. Email: unknown.
https://helpfulinformation.redcross.nl/den-haag/children/care/kindertelefoon,De Kindertelefoon: De Kindertelefoon (Helpline for Children) is for all children age 8 to 18. De Kindertelefoon is free and you can call or chat with them anonymously if you have a concern or a question.. Phone: 0800 0432. Email: unknown.
https://helpfulinformation.redcross.nl/den-haag/children/financial-help/financial-help,Stichting Ella Vogelaar : Stichting Ella Vogelaar provides financial support to undocumented women and children. The financial support is aimed at the basic human needs: a healthy and safe existence. . Phone: (+)31 6 51 82 26 93. Email: info@stichting-ellavogelaar.nl.
https://helpfulinformation.redcross.nl/den-haag/health-wellbeing/doctor/first-aid-soepbus,"First aid at Soupbus: On Saturday evening, you can be seen by one of the Red Cross First Aid Specialists. . Phone: unknown. Email: unknown."
https://helpfulinformation.redcross.nl/den-haag/food-clothing/food/free-lunch-saturdays,"Where to get a free lunch on Saturdays: On Saturdays, you can get a free meal at the winter weekendday shelter in The Hague World House. Lunch is served around 12:00. Phone: unknown. Email: unknown."
https://helpfulinformation.redcross.nl/den-haag/food-clothing/food/food-support-red-cress,Food Support Red Cross: The Red Cross has a food aid program for undocumented people in a vulverable position for a maximum of 6 months. Phone: (+)31 9 70 10 28 69 64. Email: unknown.
https://helpfulinformation.redcross.nl/den-haag/food-clothing/clothing/clothing-bank,Where to get clothes?: You can go to 'Bij Betje' if you are looking for clothes. Here is a clothing bank where you can choose clothes.. Phone: unknown. Email: unknown.
https://helpfulinformation.redcross.nl/den-haag/food-clothing/clothing/emission-soupbus,"Where to get non-food? (Wednesdays): If you are in need of a sleeping bag, warm clothes or other stuff; the Salvation Army reguarly hands out free products at the Soupbus near Central Station.. Phone: unknown. Email: unknown."
https://helpfulinformation.redcross.nl/den-haag/food-clothing/clothing/hier-nu,"Where to get non-food? (daily): A place to rest, eat, shower, wash your clothes and get advice. They also offer clothes, shoes, sleepingbags and hygiene products.. Phone: unknown. Email: unknown."
https://helpfulinformation.redcross.nl/den-haag/where-to-go-first/go-first/helpline,"Red Cross WhatsApp Helpline: The Red Cross helpline is here to help you with any needs you have, by finding the right help for you.. Phone: unknown. Email: unknown."
https://helpfulinformation.redcross.nl/den-haag/where-to-go-first/go-first/the-hague-world-house,"The Hague World House: The Worldhouse is a safe center for undocumented migrants. They can help you with questions about shelter, your legal situation and health. . Phone: Call: (+)31 7 03 18 16 73 or (+)31 7 03 18 16 58 during opening hours, , WhatsApp: (+)31 6 57 54 72 69. Email: dhwereldhuis@stekdenhaag.nl."
https://helpfulinformation.redcross.nl/den-haag/where-to-go-first/go-first/lvv-rotterdam,"LVV Rotterdam: In case you got a negative decision for asylum and you are from the Hague, this office may be able to help you get into the LVV program and to help you with 24-hour shelter.   . Phone: 14 010. Email: vreemdelingenloketMO@rotterdam.nl."
https://helpfulinformation.redcross.nl/den-haag/health-wellbeing/doctor/helpdesk-dvdw,"Doctors of the World Helpdesk: Doctors of the World has a national helpdesk through which they provide medical help to undocumented migrants.  . Phone: Call: +020 7 65 38 01 , WhatsApp: +31 6 82 06 66 86, , . Email: helpdesk@doktersvandewereld.org."
https://helpfulinformation.redcross.nl/den-haag/health-wellbeing/documents/cak,Letter to get medical costs covered: Here you can find a letter that you can give to your doctor if you do not have money to pay for healthcare.. Phone: unknown. Email: unknown.
https://helpfulinformation.redcross.nl/den-haag/health-wellbeing/documents/basic-rights,"Basic Rights Website: Here you can find a website explaining the rights of undocumented migrants, including their healthcare rights.. Phone: unknown. Email: unknown."
https://helpfulinformation.redcross.nl/den-haag/health-wellbeing/documents/infographic,Visuals explaining the Dutch healthcare system: Here you can find visual explanations of how the Dutch healthcare system works in various languages.. Phone: unknown. Email: unknown.
https://helpfulinformation.redcross.nl/den-haag/health-wellbeing/documents/basic-rights-booklet,Booklet on basic rights: Here you can find a document of GGD The Hague with information about basic rights and a list of organisations that can offer help.. Phone: unknown. Email: unknown.
https://helpfulinformation.redcross.nl/den-haag/health-wellbeing/documents/video-explanation,Video explaining how to access healthcare in the Netherlands: Here you can find a video that explains how to get medical aid when you have no documents. . Phone: unknown. Email: unknown.
https://helpfulinformation.redcross.nl/den-haag/asylum/first-asylum-request/ter-apel,Request asylum at Ter Apel (Groningen): To request asylum for the Netherlands go to Aanmeldcentrum Ter Apel. You can get a free train ticket to go to Ter Apel at the Humanitarian Service Point (HSP) in the Red Cross office in Amsterdam at the Valkenburgerstraat 24. The HSP is opened from monday to friday from 12.00 - 20.00pm.. Phone: unknown. Email: unknown.
https://helpfulinformation.redcross.nl/den-haag/asylum/after-rejection/stichting-los,Stichting LOS: Stichting LOS provides a broad range of information about the rights of undocumented migrants. They are available by phone for questions regarding the rights of undocumented people.. Phone: (+)31 10 7470156. Email: info@stichtinglos.nl .
https://helpfulinformation.redcross.nl/den-haag/asylum/voluntary-return/iom-2,International Organisation for Migration : IOM assists migrants who wish to return to their country of origin voluntarily. . Phone: (+)31 88 746 44 66. Email: missionthehague@iom.int.
https://helpfulinformation.redcross.nl/den-haag/shelter/day-shelter/dayshelter-ldh,"Hier & Nu Dayshelter Salvation Army: A place to rest, eat, shower, wash your clothes and get advice. They also offer clothes, shoes, sleepingbags and hygiene products.. Phone: unknown. Email: unknown."
https://helpfulinformation.redcross.nl/den-haag/food-clothing/food/social-restaurant,Social Restaurant Vadercentrum: A place to enjoy a free meal . Phone: 070-2052410. Email: unknown.
https://helpfulinformation.redcross.nl/den-haag/helpdesk/helpdesk/raad-en-daad-balie,Raad en Daad Helpdesk: You can come to the Raad en Daad desk for free advice and aid. Phone: 070-2052410. Email: unknown.
https://helpfulinformation.redcross.nl/den-haag/women/pregnancy-care/labour-rights,"What are you labour rights: A job requires legal documentation and therefore, you are legally not allowed to work without legal status. In case you do have a job, you still have labour rights.   . Phone: unknown. Email: unknown."
https://helpfulinformation.redcross.nl/den-haag/helpdesk/helpdesk/protection,Information about protection against exploitation : Here you can find more information about labour exploitation. . Phone: unknown. Email: unknown.
https://helpfulinformation.redcross.nl/den-haag/helpdesk/helpdesk/organization-fairwork,"FairWork : Fairwork can help you if you work in dangerous conditions, if there are threats or abuse or if you feel you can't leave your job. FairWork can also help if your work is not legal. . Phone: (+)31 020 760 08 09 , (+)31 6 51 77 12 49, , , . Email: info@fairwork.nu."
https://helpfulinformation.redcross.nl/den-haag/helpdesk/helpdesk/organizations-redcross,Red Cross: On this webpage of the Red Cross you can find more information about labour exploitation. . Phone: You can contact the [Red Cross WhatsApp Helpline](https://wa.me/3197010286964) from Monday till Friday 10:00-18:00 . Email: unknown.
https://helpfulinformation.redcross.nl/den-haag/helpdesk/helpdesk/helpdesk-red-cross,"Red Cross Humanitairian Helpdesk: Do you have questions about your rights, food aid, finances, mental wellbeing, health care, legal support or shelter? The Red Cross can help or give advice. Walk in during the opening hours of the helpdesk!. Phone: unknown. Email: helpdesk.haaglanden@rodekruis.nl."
https://helpfulinformation.redcross.nl/den-haag/women/pregnancy-care/medical-care,How to get medical care when you are pregnant : When you are pregnant and undocumented you still have the right to get medical care and support of a midwife. . Phone: unknown. Email: unknown.
https://helpfulinformation.redcross.nl/den-haag/women/pregnancy-care/shelter,How to get shelter when you are pregnant : Pregnant women are entitled to shelter in an AZC for a period of 6 weeks before birth and up to and including 6 weeks after birth. . Phone: unknown. Email: unknown.
https://helpfulinformation.redcross.nl/den-haag/women/organizations/ella-vogelaar,Stichting Ella Vogelaar : Stichting Ella Vogelaar provides financial support to undocumented women and children. The financial support is aimed at the basic human needs: a healthy and safe existence. . Phone: (+)31 6 51 82 26 93. Email: info@stichting-ellavogelaar.nl.
https://helpfulinformation.redcross.nl/den-haag/women/organizations/dokters-van-de-wereld,Dokters van de Wereld Helpdesk : You can contact Dokters van de Wereld with questions related to sexual and reproductive health. . Phone: (+31) 630261611. Email: srg@doktersvandewereld.org.
https://helpfulinformation.redcross.nl/den-haag/women/abortion/abortion,Information and help with abortion : Pregnancy can sometimes be unexpected and unwanted. Abortion can then be an option you want or that you are considering. . Phone: unknown. Email: unknown.
https://helpfulinformation.redcross.nl/den-haag/women/abortion/dokters-van-de-wereld,Dokters van de Wereld Helpdesk : Dokters van de Wereld have a Sexual and Reproductive Health Helpdesk . Phone: (+31) 630261611. Email: srg@doktersvandewereld.org.
https://helpfulinformation.redcross.nl/den-haag/safety-protection/domestic-violence/get-help,"Get help to be safe!: Are you concerned about yourself or someone else? Talk about it with someone you trust.  You can reach out to the Red Cross. Support is safe, anonymous and free. . Phone: unknown. Email: unknown."
https://helpfulinformation.redcross.nl/den-haag/safety-protection/domestic-violence/cetrum-sexueel-geweld,"Centrum Sexueel Geweld : Centrum Sexueel Geweld can help you when you have had a bad sexual experience. You can contact them anonymously.. Phone: Phone: 0800-0188, Chat: www.chatmetcsg.nl. Email: zuid-holland@centrumseksueelgeweld.nl."
https://helpfulinformation.redcross.nl/den-haag/safety-protection/criminal-exploitation/shop,SHOP - if you work in unsafe conditions: SHOP helps people who are being forced to work against their will in unsafe conditions; such as in prostitution or other sectors. . Phone: (+)31 7 03 61 47 47. Email: info@shop-denhaag.nl.
https://helpfulinformation.redcross.nl/den-haag/safety-protection/criminal-exploitation/vwn,Vluchteligenwerk : Vluchtelingenwerk can help you when you are a victim of human trafficking. Phone: 070-3265367. Email: infodenhaag@vluchtelingenwerk.nl.
https://helpfulinformation.redcross.nl/den-haag/safety-protection/criminal-exploitation/get-help,"Get help to be safe!: Are you concerned about yourself or someone else? Talk about it with someone you trust.  You can reach out to the Red Cross. Support is safe, anonymous and free. . Phone: unknown. Email: unknown."
https://helpfulinformation.redcross.nl/den-haag/safety-protection/criminal-exploitation/fier,"Fier: Fier! also has the Chat with Fier service where you can share your story anonymously with a team member and they will listen, give you information and advice. . Phone: unknown. Email: unknown."
https://helpfulinformation.redcross.nl/den-haag/safety-protection/labour-exploitation/organizations-redcross,"Get help to be safe!: Are you concered about yourself or someone else? Talk about it with someone you trust. You can also reach out to the Red Cross. Support is safe, anonymous and free. . Phone: unknown. Email: unknown."
https://helpfulinformation.redcross.nl/den-haag/safety-protection/labour-exploitation/fairwork,"FairWork : Fairwork can help you if you work in dangerous conditions, if there are threats or abuse or if you feel you can't leave your job. FairWork can also help if your work is not legal. . Phone: (+)31 020 760 08 09 , (+)31 6 51 77 12 49, , , . Email: info@fairwork.nu."
https://helpfulinformation.redcross.nl/den-haag/safety-protection/sexual-exploitation/get-help,"Get help to be safe!: Are you concerned about yourself or someone else? Talk about it with someone you trust. You can also reach out to the Red Cross. Support is safe, anonymous and free.. Phone: unknown. Email: unknown."
https://helpfulinformation.redcross.nl/den-haag/safety-protection/sexual-exploitation/fier,"Fier: Fier! also has the Chat with Fier service where you can share your story anonymously with a team member and they will listen, give you information and advice. . Phone: unknown. Email: unknown."
https://helpfulinformation.redcross.nl/den-haag/safety-protection/sexual-exploitation/cetrum-sexueel-geweld,"Centrum Sexueel Geweld : Centrum Sexueel Geweld can help you when you have had a bad sexual experience. You can contact them anonymously.. Phone: Phone: 0800-0188, Chat: www.chatmetcsg.nl. Email: zuid-holland@centrumseksueelgeweld.nl."
https://helpfulinformation.redcross.nl/den-haag/health-wellbeing/hygiene/Jongeneel,"where you can wash your clothes: gasstation where you can make use of the laundrymachines, price is depending on the weigth of the clothes. Phone: unknown. Email: unknown."
